,gene,chromosome
6106,FOXP4,['Chromosome 6']
6107,FOXQ1,['Chromosome 6']
6108,FOXR1,['Chromosome 11']
6109,FOXR2,['Chromosome X']
6110,FOXRED1,['Chromosome 11']
6111,FOXRED2,['Chromosome 22']
6112,FOXS1,['Chromosome 20']
6113,FPGS,['Chromosome 9']
6114,FPGT,['Chromosome 1']
6115,FPGT-TNNI3K,['Chromosome 1']
6116,FPR1,['Chromosome 19']
6117,FPR2,['Chromosome 19']
6118,FPR3,['Chromosome 19']
6119,FRA10AC1,['Chromosome 10']
6120,FRAS1,['Chromosome 4']
6121,FRAT1,['Chromosome 10']
6122,FRAT2,['Chromosome 10']
6123,FREM1,['Chromosome 9']
6124,FREM2,['Chromosome 13']
6125,FREM3,['Chromosome 4']
6126,FRG1,['Chromosome 4']
6127,FRG2,['Chromosome 4']
6128,FRG2B,['Chromosome 10']
6129,FRG2C,['Chromosome 3']
6130,FRK,['Chromosome 6']
6131,FRMD1,['Chromosome 14']
6132,FRMD3,['Chromosome 9']
6133,FRMD4A,['Chromosome 10']
6134,FRMD4B,['Chromosome 3']
6135,FRMD5,['Chromosome 15']
6136,FRMD6,['Chromosome 14']
6137,FRMD6-AS1,['Unplaced']
6138,FRMD7,['Chromosome X']
6139,FRMD8,['Chromosome 11']
6140,FRMD8P1,['Unplaced']
6141,FRMPD1,['Chromosome 9']
6142,FRMPD2,['Chromosome 10']
6143,FRMPD2B,['Unplaced']
6144,FRMPD3,['Chromosome X']
6145,FRMPD4,['Chromosome X']
6146,FRRS1,['Chromosome 9']
6147,FRRS1L,['Chromosome 9']
6148,FRS2,['Chromosome 12']
6149,FRS3,['Chromosome 6']
6150,FRY,['Chromosome 13']
6151,FRYL,['Chromosome 4']
6152,FRZB,['Chromosome 2']
6153,FSBP,['Chromosome 8']
6154,FSCB,['Chromosome 14']
6155,FSCN1,['Chromosome 7']
6156,FSCN2,['Chromosome 17']
6157,FSCN3,['Chromosome 7']
6158,FSD1,['Chromosome 19']
6159,FSD1L,['Chromosome 9']
6160,FSD2,['Chromosome 15']
6161,FSHB,['Chromosome 11']
6162,FSHR,['Chromosome 2']
6163,FSIP1,['Chromosome 15']
6164,FSIP2,['Chromosome 2']
6165,FST,['Chromosome 5']
6166,FSTL1,['Chromosome 3']
6167,FSTL3,['Chromosome 19']
6168,FSTL4,['Chromosome 5']
6169,FSTL5,['Chromosome 4']
6170,FTCD,['Chromosome 21']
6171,FTCDNL1,['Chromosome 2']
6172,FTH1,['Chromosome 11']
6173,FTHL17,['Chromosome X']
6174,FTL,['Chromosome 19']
6175,FTMT,['Chromosome 5']
6176,FTO,['Chromosome 16']
6177,FTSJ1,['Chromosome X']
6178,FTSJ3,['Chromosome 17']
6179,FTX,['Chromosome 12']
6180,FUBP1,['Chromosome 1']
6181,FUBP3,['Chromosome 9']
6182,FUCA1,['Chromosome 1']
6183,FUCA2,['Chromosome 6']
6184,FUK,['Chromosome 16']
6185,FUNDC1,['Chromosome X']
6186,FUNDC2,['Chromosome X']
6187,FUOM,['Chromosome 10']
6188,FURIN,['Chromosome 15']
6189,FUS,['Chromosome 16']
6190,FUT1,['Chromosome 19']
6191,FUT10,['Chromosome 8']
6192,FUT11,['Chromosome 10']
6193,FUT2,['Chromosome 19']
6194,FUT3,['Chromosome 19']
6195,FUT4,['Chromosome 11']
6196,FUT5,['Chromosome 19']
6197,FUT6,['Chromosome 19']
6198,FUT7,['Chromosome 9']
6199,FUT8,['Chromosome 14']
6200,FUT9,['Chromosome 6']
6201,FUZ,['Chromosome 19']
6202,FXN,['Chromosome 9']
6203,FXR1,['Chromosome 3']
6204,FXR2,['Chromosome 17']
6205,FXYD1,['Chromosome 19']
6206,FXYD2,['Chromosome 11']
6207,FXYD3,['Chromosome 19']
6208,FXYD4,['Chromosome 10']
6209,FXYD5,['Chromosome 19']
6210,FXYD6,['Chromosome 11']
6211,FXYD7,['Chromosome 19']
6212,FYB1,['Chromosome 5']
6213,FYB2,['Chromosome 1']
6214,FYCO1,['Chromosome 3']
6215,FYN,['Chromosome 6']
6216,FYTTD1,['Chromosome 3']
6217,FZD1,['Chromosome 7']
6218,FZD10,['Chromosome 12']
6219,FZD2,['Chromosome 17']
6220,FZD3,['Chromosome 8']
6221,FZD4,['Chromosome 11']
6222,FZD5,['Chromosome 2']
6223,FZD6,['Chromosome 8']
6224,FZD7,['Chromosome 2']
6225,FZD8,['Chromosome 10']
6226,FZD9,['Chromosome 7']
6227,FZR1,['Chromosome 19']
6228,G0S2,['Chromosome 1']
6229,G2E3,['Chromosome 14']
6230,G3BP1,['Chromosome 5']
6231,G3BP2,['Chromosome 4']
6232,G6PC,['Chromosome 17']
6233,G6PC2,['Chromosome 2']
6234,G6PC3,['Chromosome 17']
6235,G6PD,['Chromosome X']
6236,GAA,['Chromosome 8']
6237,GAB1,['Chromosome 4']
6238,GAB2,['Chromosome 11']
6239,GAB3,['Chromosome X']
6240,GAB4,['Chromosome 22']
6241,GABARAP,['Chromosome 17']
6242,GABARAPL1,['Chromosome 12']
6243,GABARAPL2,['Chromosome 16']
6244,GABARAPL3,['Unplaced']
6245,GABBR1,['Chromosome 6']
6246,GABBR2,['Chromosome 9']
6247,GABPA,['Chromosome 21']
6248,GABPB1,['Chromosome 15']
6249,GABPB2,['Chromosome 15']
6250,GABRA1,['Chromosome 5']
6251,GABRA2,['Chromosome 4']
6252,GABRA3,['Chromosome X']
6253,GABRA4,['Chromosome 4']
6254,GABRA5,['Chromosome 15']
6255,GABRA6,['Chromosome 5']
6256,GABRB1,['Chromosome 4']
6257,GABRB2,['Chromosome 5']
6258,GABRB3,['Chromosome 15']
6259,GABRD,['Chromosome 1']
6260,GABRE,['Chromosome X']
6261,GABRG1,['Chromosome 4']
6262,GABRG2,['Chromosome 5']
6263,GABRG3,['Chromosome 15']
6264,GABRP,['Chromosome 5']
6265,GABRQ,['Chromosome X']
6266,GABRR1,['Chromosome 6']
6267,GABRR2,['Chromosome 6']
6268,GABRR3,['Chromosome 3']
6269,GAD1,['Chromosome 2']
6270,GAD2,['Chromosome 10']
6271,GADD45A,['Chromosome 1']
6272,GADD45B,['Chromosome 19']
6273,GADD45G,['Chromosome 9']
6274,GADD45GIP1,['Chromosome 19']
6275,GADL1,['Chromosome 3']
6276,GAGE1,['Chromosome X']
6277,GAGE10,['Chromosome 5']
6278,GAGE12B,['Chromosome X']
6279,GAGE12C,['Chromosome X']
6280,GAGE12D,['Chromosome X']
6281,GAGE12E,['Chromosome X']
6282,GAGE12F,['Chromosome X']
6283,GAGE12G,['Chromosome X']
6284,GAGE12H,['Chromosome X']
6285,GAGE12I,['Unplaced']
6286,GAGE12J,['Chromosome X']
6287,GAGE13,['Chromosome X']
6288,GAGE2A,['Chromosome X']
6289,GAGE2B,['Unplaced']
6290,GAGE2C,['Unplaced']
6291,GAGE2D,['Unplaced']
6292,GAGE2E,['Chromosome X']
6293,GAGE5,['Unplaced']
6294,GAGE6,['Chromosome 5']
6295,GAGE7,['Unplaced']
6296,GAGE8,['Unplaced']
6297,GAK,['Chromosome 4']
6298,GAL,['Chromosome 11']
6299,GAL3ST1,['Chromosome 22']
6300,GAL3ST2,['Chromosome 2']
6301,GAL3ST3,['Chromosome 11']
6302,GAL3ST4,['Chromosome 7']
6303,GALC,['Chromosome 14']
6304,GALE,['Chromosome 1']
6305,GALK1,['Chromosome 17']
6306,GALK2,['Chromosome 15']
6307,GALM,['Chromosome 2']
6308,GALNS,['Chromosome 16']
6309,GALNT1,['Chromosome 18']
6310,GALNT10,['Chromosome 5']
6311,GALNT11,['Chromosome 7']
6312,GALNT12,['Chromosome 9']
6313,GALNT13,['Chromosome 2']
6314,GALNT14,['Chromosome 2']
6315,GALNT15,['Chromosome 3']
6316,GALNT16,['Chromosome 14']
6317,GALNT17,['Chromosome 7']
6318,GALNT18,['Chromosome 11']
6319,GALNT2,['Chromosome 1']
6320,GALNT3,['Chromosome 2']
6321,GALNT4,['Chromosome 12']
6322,GALNT5,['Chromosome 2']
6323,GALNT6,['Chromosome 12']
6324,GALNT7,['Chromosome 4']
6325,GALNT8,['Chromosome 12']
6326,GALNT9,['Chromosome 12']
6327,GALNTL5,['Chromosome 7']
6328,GALNTL6,['Chromosome 4']
6329,GALP,['Chromosome 19']
6330,GALR1,['Chromosome 18']
6331,GALR2,['Chromosome 17']
6332,GALR3,['Chromosome 22']
6333,GALT,['Chromosome X']
6334,GAMT,['Chromosome 19']
6335,GAN,['Chromosome 16']
6336,GANAB,['Chromosome 11']
6337,GANC,['Chromosome 15']
6338,GAP43,['Chromosome 3']
6339,GAPDH,['Chromosome 12']
6340,GAPDHS,['Chromosome 19']
6341,GAPT,['Chromosome 5']
6342,GAPVD1,['Chromosome 9']
6343,GAR1,['Chromosome 4']
6344,GAREM1,['Chromosome 18']
6345,GAREM2,['Chromosome 2']
6346,GARNL3,['Chromosome 9']
6347,GARS,['Chromosome 7']
6348,GART,['Chromosome 21']
6349,GAS1,['Chromosome 9']
6350,GAS2,['Chromosome 22']
6351,GAS2L1,['Chromosome 22']
6352,GAS2L2,['Chromosome 17']
6353,GAS2L3,['Chromosome 12']
6354,GAS6,['Chromosome 13']
6355,GAS7,['Unplaced']
6356,GAS8,['Chromosome 16']
6357,GAS8-AS1,['Unplaced']
6358,GAST,['Chromosome 17']
6359,GATA1,['Chromosome X']
6360,GATA2,['Chromosome 3']
6361,GATA3,['Chromosome 10']
6362,GATA4,['Chromosome 8']
6363,GATA5,['Chromosome 20']
6364,GATA6,['Chromosome 18']
6365,GATAD1,['Chromosome 7']
6366,GATAD2A,['Chromosome 19']
6367,GATAD2B,['Chromosome 1']
6368,GATB,['Chromosome 4']
6369,GATC,['Chromosome 12']
6370,GATD1,['Chromosome 11']
6371,GATD3A,['Chromosome 21']
6372,GATD3B,['Chromosome 21']
6373,GATM,['Chromosome 15']
6374,GBA,['Chromosome 9']
6375,GBA2,['Chromosome 9']
6376,GBA3,['Unplaced']
6377,GBE1,['Chromosome 3']
6378,GBF1,['Chromosome 10']
6379,GBGT1,['Chromosome 9']
6380,GBP1,['Chromosome 1']
6381,GBP2,['Chromosome 1']
6382,GBP3,['Chromosome 1']
6383,GBP4,['Chromosome 1']
6384,GBP5,['Chromosome 1']
6385,GBP6,['Chromosome 1']
6386,GBP7,['Chromosome 1']
6387,GBX1,['Chromosome 7']
6388,GBX2,['Chromosome 2']
6389,GC,['Chromosome 4']
6390,GCA,['Chromosome 2']
6391,GCAT,['Chromosome 22']
6392,GCC1,['Chromosome 7']
6393,GCC2,['Chromosome 2']
6394,GCDH,['Chromosome 19']
6395,GCFC2,['Chromosome 2']
6396,GCG,['Chromosome 2']
6397,GCGR,['Chromosome 17']
6398,GCH1,['Chromosome 14']
6399,GCHFR,['Chromosome 15']
6400,GCK,['Chromosome 7']
6401,GCKR,['Chromosome 2']
6402,GCLC,['Chromosome 6']
6403,GCLM,['Chromosome 1']
6404,GCM1,['Chromosome 6']
6405,GCM2,['Chromosome 6']
6406,GCN1,['Chromosome 12']
6407,GCNA,['Chromosome 7']
6408,GCNT1,['Chromosome 9']
6409,GCNT2,['Chromosome 6']
6410,GCNT3,['Chromosome 15']
6411,GCNT4,['Chromosome 5']
6412,GCNT7,['Chromosome 20']
6413,GCOM1,['Chromosome 15']
6414,GCSAM,['Chromosome 3']
6415,GCSAML,['Chromosome 1']
6416,GCSH,['Chromosome 16']
6417,GDA,['Chromosome 9']
6418,GDAP1,['Chromosome 8']
6419,GDAP1L1,['Chromosome 20']
6420,GDAP2,['Chromosome 1']
6421,GDE1,['Chromosome 16']
6422,GDF1,['Chromosome 19']
6423,GDF10,['Chromosome 10']
6424,GDF11,['Chromosome 12']
6425,GDF15,['Chromosome 19']
6426,GDF2,['Chromosome 10']
6427,GDF3,['Chromosome 12']
6428,GDF5,['Chromosome 20']
6429,GDF5OS,['Unplaced']
6430,GDF6,['Chromosome 8']
6431,GDF7,['Chromosome 2']
6432,GDF9,['Chromosome 5']
6433,GDI1,['Chromosome X']
6434,GDI2,['Chromosome 10']
6435,GDNF,['Chromosome 8']
6436,GDPD1,['Chromosome 17']
6437,GDPD2,['Chromosome X']
6438,GDPD3,['Chromosome 16']
6439,GDPD4,['Chromosome 11']
6440,GDPD5,['Chromosome 11']
6441,GDPGP1,['Chromosome 15']
6442,GEM,['Chromosome 8']
6443,GEMIN2,['Chromosome 14']
6444,GEMIN4,['Chromosome 17']
6445,GEMIN5,['Chromosome 5']
6446,GEMIN6,['Chromosome 2']
6447,GEMIN7,['Chromosome 19']
6448,GEMIN8,['Chromosome X']
6449,GEN1,['Chromosome 2']
6450,GET4,['Chromosome 7']
6451,GFAP,['Chromosome 17']
6452,GFER,['Chromosome 16']
6453,GFI1,['Chromosome 1']
6454,GFI1B,['Chromosome 9']
6455,GFM1,['Chromosome 3']
6456,GFM2,['Chromosome 5']
6457,GFOD1,['Chromosome 6']
6458,GFOD2,['Chromosome 16']
6459,GFPT1,['Chromosome 2']
6460,GFPT2,['Chromosome 5']
6461,GFRA1,['Chromosome 10']
6462,GFRA2,['Chromosome 8']
6463,GFRA3,['Chromosome 5']
6464,GFRA4,['Chromosome 20']
6465,GFRAL,['Chromosome 6']
6466,GFY,['Chromosome 19']
6467,GGA1,['Chromosome 22']
6468,GGA2,['Chromosome 16']
6469,GGA3,['Chromosome 17']
6470,GGACT,['Chromosome 13']
6471,GGCT,['Chromosome 7']
6472,GGCX,['Chromosome 2']
6473,GGH,['Chromosome 8']
6474,GGN,['Chromosome 19']
6475,GGNBP1,['Unplaced']
6476,GGNBP2,['Chromosome 17']
6477,GGPS1,['Chromosome 1']
6478,GGT1,['Chromosome 22']
6479,GGT2,['Chromosome 22']
6480,GGT3P,['Unplaced']
6481,GGT5,['Chromosome 22']
6482,GGT6,['Chromosome 17']
6483,GGT7,['Chromosome 20']
6484,GGTA1P,['Unplaced']
6485,GGTLC1,['Chromosome 20']
6486,GGTLC2,['Chromosome 22']
6487,GGTLC3,['Chromosome 22']
6488,GH1,['Chromosome 17']
6489,GH2,['Chromosome 17']
6490,GHDC,['Chromosome 17']
6491,GHITM,['Chromosome 10']
6492,GHR,['Chromosome 5']
6493,GHRH,['Chromosome 20']
6494,GHRHR,['Chromosome 7']
6495,GHRL,['Chromosome 3']
6496,GHSR,['Chromosome 3']
6497,GID4,['Chromosome 17']
6498,GID8,['Chromosome 20']
6499,GIF,['Chromosome 11']
6500,GIGYF1,['Chromosome 7']
6501,GIGYF2,['Chromosome 2']
6502,GIMAP1,['Chromosome 7']
6503,GIMAP2,['Chromosome 7']
6504,GIMAP4,['Chromosome 7']
6505,GIMAP5,['Chromosome 7']
6506,GIMAP6,['Chromosome 7']
6507,GIMAP7,['Chromosome 7']
6508,GIMAP8,['Chromosome 7']
6509,GIMD1,['Chromosome 4']
6510,GIN1,['Chromosome 5']
6511,GINM1,['Chromosome 6']
6512,GINS1,['Chromosome 20']
6513,GINS2,['Chromosome 16']
6514,GINS3,['Chromosome 16']
6515,GINS4,['Chromosome 8']
6516,GIP,['Chromosome 17']
6517,GIPC1,['Chromosome 19']
6518,GIPC2,['Chromosome 1']
6519,GIPC3,['Chromosome 19']
6520,GIPR,['Chromosome 19']
6521,GIT1,['Chromosome 17']
6522,GIT2,['Chromosome 12']
6523,GJA1,['Chromosome 6']
6524,GJA10,['Chromosome 6']
6525,GJA3,['Chromosome 13']
6526,GJA4,['Chromosome 1']
6527,GJA5,['Chromosome 1']
6528,GJA8,['Chromosome 1']
6529,GJA9,['Chromosome 1']
6530,GJB1,['Chromosome X']
6531,GJB2,['Chromosome 13']
6532,GJB3,['Chromosome 1']
6533,GJB4,['Chromosome 1']
6534,GJB5,['Chromosome 1']
6535,GJB6,['Chromosome 13']
6536,GJB7,['Chromosome 6']
6537,GJC1,['Chromosome 17']
6538,GJC2,['Chromosome 1']
6539,GJC3,['Chromosome 7']
6540,GJD2,['Chromosome 15']
6541,GJD3,['Chromosome 17']
6542,GJD4,['Chromosome 10']
6543,GJE1,['Chromosome 6']
6544,GK,['Genome']
6545,GK2,['Chromosome 15']
6546,GK3P,['Chromosome 4']
6547,GK5,['Chromosome 3']
6548,GKAP1,['Chromosome 9']
6549,GKN1,['Chromosome 2']
6550,GKN2,['Chromosome 2']
6551,GLA,['Chromosome 12']
6552,GLB1,['Chromosome 3']
6553,GLB1L,['Chromosome 2']
6554,GLB1L2,['Chromosome 11']
6555,GLB1L3,['Chromosome 11']
6556,GLCCI1,['Chromosome 7']
6557,GLCE,['Unplaced']
6558,GLDC,['Chromosome 9']
6559,GLDN,['Chromosome 15']
6560,GLE1,['Chromosome 9']
6561,GLG1,['Chromosome 16']
6562,GLI1,['Chromosome 12']
6563,GLI2,['Chromosome 2']
6564,GLI3,['Chromosome 7']
6565,GLI4,['Chromosome 8']
6566,GLIPR1,['Chromosome 12']
6567,GLIPR1L1,['Chromosome 12']
6568,GLIPR1L2,['Chromosome 12']
6569,GLIPR2,['Chromosome 9']
6570,GLIS1,['Chromosome 1']
6571,GLIS2,['Chromosome 16']
6572,GLIS3,['Chromosome 9']
6573,GLMN,['Chromosome 1']
6574,GLMP,['Chromosome 1']
6575,GLO1,['Chromosome 6']
6576,GLOD4,['Chromosome 17']
6577,GLOD5,['Chromosome X']
6578,GLP1R,['Chromosome 6']
6579,GLP2R,['Chromosome 17']
6580,GLRA1,['Chromosome 5']
6581,GLRA2,['Chromosome X']
6582,GLRA3,['Chromosome 4']
6583,GLRB,['Chromosome 4']
6584,GLRX,['Chromosome 14']
6585,GLRX2,['Chromosome 1']
6586,GLRX3,['Chromosome 10']
6587,GLRX5,['Chromosome 14']
6588,GLS,['Chromosome 2']
6589,GLS2,['Chromosome 12']
6590,GLT1D1,['Chromosome 12']
6591,GLT6D1,['Chromosome 9']
6592,GLT8D1,['Chromosome 3']
6593,GLT8D2,['Chromosome 12']
6594,GLTP,['Chromosome 12']
6595,GLTPD2,['Chromosome 17']
6596,GLUD1,['Chromosome 10']
6597,GLUD2,['Chromosome X']
6598,GLUL,['Chromosome 1']
6599,GLYAT,['Chromosome 11']
6600,GLYATL1,['Chromosome 11']
6601,GLYATL1B,['Chromosome 11']
6602,GLYATL2,['Chromosome 11']
6603,GLYATL3,['Chromosome 6']
6604,GLYCAM1,['Unplaced']
6605,GLYCTK,['Chromosome 3']
6606,GLYR1,['Chromosome 16']
6607,GM2A,['Chromosome 5']
6608,GMCL1,['Chromosome 2']
6609,GMCL2,['Chromosome 5']
6610,GMDS,['Chromosome 6']
6611,GMEB1,['Chromosome 1']
6612,GMEB2,['Chromosome 20']
6613,GMFB,['Chromosome 14']
6614,GMFG,['Chromosome 19']
6615,GMIP,['Chromosome 19']
6616,GML,['Chromosome 8']
6617,GMNC,['Chromosome 3']
6618,GMNN,['Chromosome 6']
6619,GMPPA,['Chromosome 2']
6620,GMPPB,['Chromosome 3']
6621,GMPR,['Chromosome 6']
6622,GMPR2,['Chromosome 14']
6623,GMPS,['Chromosome 3']
6624,GNA11,['Chromosome 19']
6625,GNA12,['Chromosome 7']
6626,GNA13,['Chromosome 17']
6627,GNA14,['Chromosome 9']
6628,GNA15,['Chromosome 19']
6629,GNAI1,['Chromosome 7']
6630,GNAI2,['Chromosome 3']
6631,GNAI3,['Chromosome 1']
6632,GNAL,['Chromosome 18']
6633,GNAO1,['Chromosome 16']
6634,GNAQ,['Chromosome 9']
6635,GNAS,['Chromosome 20']
6636,GNAT1,['Chromosome 3']
6637,GNAT2,['Chromosome 1']
6638,GNAT3,['Chromosome 7']
6639,GNAZ,['Chromosome 22']
6640,GNB1,['Chromosome 1']
6641,GNB1L,['Chromosome 22']
6642,GNB2,['Chromosome 7']
6643,GNB3,['Chromosome 12']
6644,GNB4,['Chromosome 3']
6645,GNB5,['Chromosome 15']
6646,GNE,['Chromosome 9']
6647,GNG10,['Chromosome 9']
6648,GNG11,['Chromosome 7']
6649,GNG12,['Chromosome 1']
6650,GNG13,['Chromosome 16']
6651,GNG14,['Chromosome 19']
6652,GNG2,['Chromosome 14']
6653,GNG3,['Chromosome 11']
6654,GNG4,['Chromosome 1']
6655,GNG5,['Chromosome 1']
6656,GNG7,['Chromosome 19']
6657,GNG8,['Unplaced']
6658,GNGT1,['Chromosome 7']
6659,GNGT2,['Chromosome 17']
6660,GNL1,['Chromosome 6']
6661,GNL2,['Chromosome 1']
6662,GNL3,['Chromosome 3']
6663,GNL3L,['Chromosome X']
6664,GNLY,['Chromosome 2']
6665,GNMT,['Chromosome 6']
6666,GNPAT,['Chromosome 1']
6667,GNPDA1,['Chromosome 5']
6668,GNPDA2,['Chromosome 4']
6669,GNPNAT1,['Chromosome 14']
6670,GNPTAB,['Chromosome 12']
6671,GNPTG,['Chromosome 16']
6672,GNRH1,['Chromosome 8']
6673,GNRH2,['Chromosome 20']
6674,GNRHR,['Chromosome 4']
6675,GNRHR2,['Unplaced']
6676,GNS,['Chromosome 12']
6677,GOLGA1,['Chromosome 9']
6678,GOLGA2,['Chromosome 9']
6679,GOLGA2P5,['Unplaced']
6680,GOLGA3,['Chromosome 12']
6681,GOLGA4,['Chromosome 3']
6682,GOLGA5,['Chromosome 14']
6683,GOLGA6A,['Chromosome 15']
6684,GOLGA6B,['Chromosome 15']
6685,GOLGA6C,['Chromosome 15']
6686,GOLGA6D,['Chromosome 15']
6687,GOLGA6L1,['Chromosome 15']
6688,GOLGA6L10,['Chromosome 15']
6689,GOLGA6L2,['Chromosome 15']
6690,GOLGA6L22,['Chromosome 15']
6691,GOLGA6L3,['Unplaced']
6692,GOLGA6L4,['Chromosome 15']
6693,GOLGA6L6,['Chromosome 15']
6694,GOLGA6L9,['Chromosome 15']
6695,GOLGA7,['Chromosome 8']
6696,GOLGA7B,['Chromosome 10']
6697,GOLGA8A,['Chromosome 15']
6698,GOLGA8B,['Chromosome 15']
6699,GOLGA8CP,['Unplaced']
6700,GOLGA8DP,['Unplaced']
6701,GOLGA8F,['Chromosome 15']
6702,GOLGA8G,['Chromosome 15']
6703,GOLGA8H,['Chromosome 15']
6704,GOLGA8IP,['Unplaced']
6705,GOLGA8J,['Chromosome 15']
6706,GOLGA8K,['Chromosome 15']
6707,GOLGA8M,['Chromosome 15']
6708,GOLGA8N,['Chromosome 15']
6709,GOLGA8O,['Chromosome 15']
6710,GOLGA8Q,['Chromosome 15']
6711,GOLGA8R,['Chromosome 15']
6712,GOLGA8S,['Chromosome 15']
6713,GOLGA8T,['Chromosome 15']
6714,GOLGB1,['Chromosome 3']
6715,GOLIM4,['Chromosome 3']
6716,GOLM1,['Chromosome 9']
6717,GOLPH3,['Chromosome 5']
6718,GOLPH3L,['Chromosome 1']
6719,GOLT1A,['Chromosome 1']
6720,GOLT1B,['Chromosome 12']
6721,GON4L,['Chromosome 1']
6722,GON7,['Chromosome 14']
6723,GOPC,['Chromosome 6']
6724,GORAB,['Chromosome 1']
6725,GORASP1,['Chromosome 3']
6726,GORASP2,['Chromosome 2']
6727,GOSR1,['Chromosome 17']
6728,GOSR2,['Chromosome 17']
6729,GOT1,['Chromosome 10']
6730,GOT1L1,['Chromosome 8']
6731,GOT2,['Chromosome 16']
6732,GP1BA,['Chromosome 17']
6733,GP1BB,['Chromosome 22']
6734,GP2,['Genome']
6735,GP5,['Chromosome 3']
6736,GP6,['Chromosome 19']
6737,GP9,['Chromosome 3']
6738,GPA33,['Chromosome 1']
6739,GPAA1,['Chromosome 8']
6740,GPALPP1,['Chromosome 13']
6741,GPAM,['Chromosome 10']
6742,GPANK1,['Chromosome 6']
6743,GPAT2,['Chromosome 2']
6744,GPAT3,['Chromosome 4']
6745,GPAT4,['Chromosome 8']
6746,GPATCH1,['Chromosome 19']
6747,GPATCH11,['Chromosome 2']
6748,GPATCH2,['Chromosome 14']
6749,GPATCH2L,['Chromosome 14']
6750,GPATCH3,['Chromosome 1']
6751,GPATCH4,['Unplaced']
6752,GPATCH8,['Chromosome 17']
6753,GPBAR1,['Chromosome 2']
6754,GPBP1,['Chromosome 5']
6755,GPBP1L1,['Chromosome 1']
6756,GPC1,['Chromosome 2']
6757,GPC2,['Chromosome 7']
6758,GPC3,['Chromosome X']
6759,GPC4,['Chromosome X']
6760,GPC5,['Chromosome 13']
6761,GPC6,['Chromosome 13']
6762,GPCPD1,['Chromosome 20']
6763,GPD1,['Chromosome 12']
6764,GPD1L,['Chromosome 3']
6765,GPD2,['Chromosome 2']
6766,GPER1,['Chromosome 7']
6767,GPHA2,['Chromosome 11']
6768,GPHB5,['Chromosome 14']
6769,GPHN,['Chromosome 14']
6770,GPI,['Chromosome 1']
6771,GPIHBP1,['Chromosome 8']
6772,GPKOW,['Chromosome X']
6773,GPLD1,['Chromosome 6']
6774,GPM6A,['Chromosome 4']
6775,GPM6B,['Chromosome X']
6776,GPN1,['Chromosome 2']
6777,GPN2,['Chromosome 1']
6778,GPN3,['Chromosome 12']
6779,GPNMB,['Chromosome 7']
6780,GPR1,['Chromosome 2']
6781,GPR101,['Chromosome X']
6782,GPR107,['Chromosome 9']
6783,GPR108,['Chromosome 19']
6784,GPR119,['Chromosome X']
6785,GPR12,['Chromosome 13']
6786,GPR132,['Chromosome 14']
6787,GPR135,['Chromosome 14']
6788,GPR137,['Chromosome 11']
6789,GPR137B,['Chromosome 1']
6790,GPR137C,['Chromosome 14']
6791,GPR139,['Chromosome 16']
6792,GPR141,['Chromosome 7']
6793,GPR142,['Chromosome 17']
6794,GPR143,['Chromosome X']
6795,GPR146,['Chromosome 7']
6796,GPR148,['Chromosome 2']
6797,GPR149,['Chromosome 3']
6798,GPR15,['Chromosome 10']
6799,GPR150,['Chromosome 5']
6800,GPR151,['Chromosome 5']
6801,GPR152,['Chromosome 11']
6802,GPR153,['Chromosome 1']
6803,GPR155,['Chromosome 2']
6804,GPR156,['Chromosome 3']
6805,GPR157,['Chromosome 1']
6806,GPR158,['Chromosome 17']
6807,GPR160,['Chromosome 3']
6808,GPR161,['Chromosome 1']
6809,GPR162,['Chromosome 12']
6810,GPR17,['Chromosome 2']
6811,GPR171,['Chromosome 3']
6812,GPR173,['Chromosome X']
6813,GPR174,['Chromosome X']
6814,GPR176,['Chromosome 15']
6815,GPR179,['Chromosome 17']
6816,GPR18,['Chromosome 13']
6817,GPR180,['Chromosome 13']
6818,GPR182,['Chromosome 12']
6819,GPR183,['Chromosome 13']
6820,GPR19,['Chromosome 12']
6821,GPR20,['Chromosome 8']
6822,GPR21,['Chromosome 9']
6823,GPR22,['Chromosome 7']
6824,GPR25,['Chromosome 1']
6825,GPR26,['Chromosome 10']
6826,GPR27,['Chromosome 3']
6827,GPR3,['Chromosome 1']
6828,GPR31,['Chromosome 6']
6829,GPR32,['Chromosome 19']
6830,GPR33,['Chromosome 14']
6831,GPR34,['Chromosome X']
6832,GPR35,['Chromosome 2']
6833,GPR37,['Chromosome 7']
6834,GPR37L1,['Chromosome 1']
6835,GPR39,['Chromosome 2']
6836,GPR4,['Chromosome 19']
6837,GPR42,['Chromosome 19']
6838,GPR45,['Chromosome 2']
6839,GPR50,['Chromosome X']
6840,GPR52,['Chromosome 1']
6841,GPR55,['Chromosome 2']
6842,GPR6,['Chromosome 6']
6843,GPR61,['Chromosome 1']
6844,GPR62,['Chromosome 3']
6845,GPR63,['Chromosome 6']
6846,GPR65,['Chromosome 14']
6847,GPR68,['Chromosome 14']
6848,GPR75,['Chromosome 2']
6849,GPR78,['Chromosome 4']
6850,GPR82,['Chromosome X']
6851,GPR83,['Chromosome 11']
6852,GPR84,['Chromosome 12']
6853,GPR85,['Chromosome 7']
6854,GPR87,['Chromosome 3']
6855,GPR88,['Chromosome 1']
6856,GPR89A,['Chromosome 1']
6857,GPR89B,['Chromosome 1']
6858,GPRASP1,['Chromosome X']
